Vmag,Plx,e_Plx,B-V
8.22,4.34,0.65,0.445
8.55,3.30,1.04,1.045
9.49,2.32,1.41,0.552
6.53,5.00,0.52,0.130
7.45,5.18,0.87,0.094
8.32,11.07,1.59,0.280
8.63,1.46,1.34,1.028
9.16,13.76,1.72,0.626
8.13,4.04,1.07,0.299
7.78,18.44,1.10,0.743
8.83,1.83,1.00,0.350
8.32,2.34,1.31,1.119
4.93,2.60,0.72,1.591
7.26,1.33,1.17,0.095
6.69,4.78,0.83,1.310
8.50,2.08,1.05,1.340
9.05,0.80,1.24,0.054
9.36,0.45,1.48,1.491
8.70,3.74,1.38,0.406
9.16,16.49,1.57,0.623
9.94,6.47,3.30,0.510
6.26,43.08,0.79,0.530
8.83,14.34,1.34,0.639
7.55,1.07,0.96,1.679
8.97,3.92,1.02,0.398
6.12,1.62,0.56,0.117
8.77,5.72,1.26,0.572
9.05,7.67,2.13,0.607
8.55,6.31,1.34,1.177
8.69,10.76,1.22,0.612
9.26,3.29,1.40,1.018
6.43,23.12,1.04,0.463
8.27,0.82,1.03,1.107
8.12,2.22,0.79,-0.066
5.97,20.89,0.89,1.023
8.93,11.76,1.36,0.708
6.39,0.77,0.80,1.720
9.81,4.02,1.81,0.530
6.47,17.30,0.79,0.682
8.51,0.47,1.22,0.989
7.03,3.79,1.08,-0.018
7.67,5.92,0.67,0.475
6.45,2.85,0.74,1.587
9.39,4.66,1.92,0.500
7.89,2.00,0.61,1.035
9.63,15.97,1.72,0.760
8.95,11.34,1.19,0.564
8.26,2.28,0.86,1.370
6.52,8.50,0.83,1.169
7.24,5.19,0.75,1.071
7.63,7.79,1.18,0.962
9.03,5.33,1.41,0.459
8.12,16.61,1.14,0.673
7.48,5.39,0.93,1.144
7.54,19.32,0.93,0.524
9.55,5.87,1.51,0.635
8.23,8.80,1.15,0.438
6.34,1.77,0.76,-0.136
9.71,3.58,1.37,0.371
7.64,-0.24,0.83,0.038
8.94,16.31,1.50,0.810
8.55,0.57,0.79,0.115
9.21,9.54,1.38,0.639
8.30,2.19,1.25,1.887
7.18,1.75,0.86,-0.049
8.70,8.69,1.72,0.586
8.75,1.77,1.18,0.926
4.38,9.97,0.47,-0.046
8.40,2.10,1.40,1.142
7.91,2.56,1.03,1.537
8.84,7.57,1.28,0.399
9.55,13.92,1.46,0.769
8.80,1.68,2.48,      
9.46,4.71,3.02,0.530
6.46,6.12,0.90,1.463
7.18,18.69,0.90,0.480
10.14,6.77,2.07,0.727
9.95,1.19,1.18,1.072
7.87,2.66,0.83,1.392
7.88,1.32,0.76,0.010
8.91,6.09,0.73,0.413
8.06,4.88,1.33,0.071
7.12,4.78,0.89,1.042
8.47,7.18,1.21,0.356
7.57,2.34,0.95,-0.088
8.26,14.71,1.25,0.843
8.69,3.89,1.02,-0.020
8.22,3.79,0.93,1.170
8.80,0.45,1.47,1.245
7.84,3.49,1.07,1.155
7.26,2.25,0.77,1.520
9.04,5.95,1.50,0.569
9.15,7.86,1.24,0.672
8.15,11.06,0.72,0.471
7.82,4.19,1.66,0.034
8.57,4.02,1.55,1.018
9.50,2.85,1.58,0.408
9.15,2.82,1.08,0.661
7.93,12.89,1.15,1.004
9.68,6.40,1.56,0.513
8.73,3.25,0.98,1.090
9.13,18.21,1.62,0.769
8.01,1.92,1.05,1.506
8.38,25.96,1.19,0.708
9.90,1.89,3.56,0.344
7.12,4.57,0.65,0.306
9.51,1.19,1.05,0.578
9.82,3.32,1.66,0.565
8.55,11.04,2.04,0.200
6.51,22.22,1.15,0.394
7.80,2.03,0.93,0.994
8.00,2.14,1.17,1.535
8.36,5.33,1.16,0.616
7.81,1.24,0.95,1.711
7.79,2.98,0.73,0.030
9.11,1.47,2.79,1.447
8.98,3.94,1.39,0.331
6.93,5.40,0.94,1.016
7.45,4.93,0.88,0.429
8.22,3.38,1.25,1.225
8.02,2.93,1.07,1.312
8.63,1.79,0.86,0.001
8.74,2.12,1.24,1.129
8.10,4.55,1.09,0.335
7.26,5.43,0.72,1.003
8.79,9.21,1.34,0.552
9.42,1.25,1.29,0.360
8.20,6.33,1.09,0.506
8.86,3.76,1.28,1.176
8.91,63.82,1.49,1.296
8.01,14.44,0.96,0.544
7.28,15.93,1.71,0.579
7.90,5.38,1.02,1.296
7.19,1.35,0.71,-0.009
5.51,7.77,0.65,0.087
8.35,0.98,1.13,1.681
7.57,3.50,0.81,1.277
8.98,0.32,1.30,1.646
7.71,3.68,0.88,0.075
8.47,0.54,0.77,0.070
7.65,1.95,0.77,-0.045
8.19,2.83,1.42,-0.007
6.81,5.51,0.91,1.170
8.96,0.65,0.89,0.067
8.89,9.38,1.24,0.487
7.60,5.51,1.04,0.096
7.79,0.86,0.72,0.084
9.31,4.86,1.17,0.418
8.65,0.40,1.24,1.003
9.16,3.56,2.75,1.390
7.69,4.35,0.99,0.242
8.76,10.54,1.23,0.485
7.34,48.83,0.91,0.830
6.36,7.21,1.00,0.057
8.82,12.01,0.90,0.570
8.37,1.44,1.26,1.284
6.39,0.03,0.95,-0.135
7.78,3.83,1.17,1.118
5.32,165.24,0.90,0.868
7.52,14.59,0.86,0.441
8.83,2.43,3.53,1.283
8.79,9.29,1.17,0.584
9.45,3.94,1.46,1.205
8.75,0.97,0.82,0.220
9.49,4.69,1.55,0.536
6.24,0.11,0.75,-0.048
8.17,12.73,0.95,0.475
8.34,8.93,1.19,0.446
7.88,2.94,0.75,1.450
7.20,1.52,0.75,1.637
8.28,10.44,1.02,0.486
8.76,5.28,1.25,0.579
7.75,15.06,0.83,0.501
9.21,6.95,1.49,0.648
5.70,20.54,0.52,0.530
8.55,1.43,1.22,1.454
7.52,0.09,0.98,1.530
9.46,13.85,1.53,0.800
8.42,1.64,1.19,1.310
8.29,2.90,0.77,-0.005
8.15,5.75,1.38,0.940
8.00,0.87,1.05,1.537
8.64,2.64,1.27,1.086
7.29,1.50,0.79,-0.089
9.26,2.67,1.72,0.280
8.43,4.72,0.93,0.391
9.57,6.12,1.55,0.396
7.59,2.51,0.81,-0.086
6.34,6.75,1.07,1.209
7.24,6.67,0.73,0.266
9.49,12.18,1.44,0.626
8.53,9.59,1.12,0.568
6.92,3.92,0.60,-0.110
8.53,2.66,1.05,0.908
9.41,9.82,1.69,0.830
8.78,11.47,0.94,0.613
8.08,2.64,1.22,1.161
9.17,9.46,1.03,0.460
7.81,1.89,0.86,1.500
9.51,2.59,1.60,1.222
9.47,-1.63,1.30,1.247
6.20,9.48,0.89,1.228
8.78,2.13,0.85,0.068
5.84,35.65,0.92,0.476
9.05,2.83,1.29,1.093
7.65,5.24,0.98,1.035
10.61,19.53,2.16,1.352
8.03,0.37,1.30,-0.028
9.07,20.02,1.17,0.750
8.28,4.14,1.04,0.138
7.53,6.06,0.76,1.093
8.43,1.10,1.11,1.421
10.02,5.41,5.09,1.176
7.73,12.65,1.02,0.573
9.06,3.47,1.33,0.509
9.04,1.85,1.35,1.155
9.62,3.29,1.55,0.585
8.55,2.40,1.25,0.937
9.74,10.93,1.69,0.673
8.07,3.34,0.96,0.955
8.54,17.39,1.17,0.654
5.44,3.67,0.96,1.430
8.77,5.62,1.60,0.377
8.46,32.10,0.77,0.896
7.45,0.97,0.93,1.556
4.80,4.55,0.53,0.100
7.09,0.92,0.65,1.141
8.67,27.33,1.21,0.732
8.42,1.79,1.24,1.540
7.61,1.81,0.84,2.860
5.81,5.49,0.49,1.476
6.47,7.26,0.94,1.249
6.90,17.68,0.87,0.458
8.14,8.30,1.00,0.538
8.35,2.37,1.09,1.498
6.13,4.42,0.52,1.489
8.94,-0.99,1.51,1.553
8.62,2.54,1.09,0.546
9.50,21.24,1.61,0.906
7.97,161.17,1.08,1.431
8.35,3.68,2.58,0.125
7.09,6.91,0.61,0.179
8.46,13.23,1.46,0.566
9.08,7.82,1.24,0.743
8.28,7.63,1.26,0.852
6.47,3.23,0.58,-0.014
8.39,9.77,1.25,0.434
7.13,5.29,0.86,1.109
9.07,4.84,1.22,0.407
8.01,15.19,1.32,0.680
8.60,2.06,0.89,0.031
7.71,15.89,1.24,0.704
8.79,3.78,1.73,1.183
7.26,15.95,0.59,0.844
8.81,2.29,1.44,0.973
9.02,7.96,1.29,0.481
7.56,16.11,0.65,0.536
5.19,9.97,0.58,0.191
9.37,13.54,1.24,0.758
7.29,0.22,0.68,0.111
4.94,21.24,0.78,0.072
8.21,4.93,1.05,0.423
5.65,3.56,0.70,1.497
8.71,0.12,1.45,1.130
8.71,3.27,0.83,-0.028
7.53,2.02,0.71,0.554
6.09,13.88,0.78,0.308
8.14,7.41,1.06,0.979
10.19,49.03,1.74,1.351
10.43,-1.61,2.06,0.370
4.93,24.37,0.55,0.151
8.62,10.44,1.19,0.539
8.29,4.22,0.64,0.155
8.99,5.48,1.22,1.044
6.57,0.98,0.61,1.315
8.14,3.95,0.95,0.980
7.64,2.61,0.99,1.662
8.98,2.98,1.32,0.966
8.34,1.21,1.05,0.868
8.24,0.78,1.05,1.259
8.40,8.66,1.17,0.630
8.73,1.01,1.40,1.255
7.14,3.20,0.60,1.614
8.18,1.04,1.07,0.211
9.07,9.00,1.22,0.512
10.09,8.03,2.35,0.440
8.01,2.64,0.61,1.033
9.18,2.95,1.49,0.993
8.01,1.86,0.73,0.002
4.79,2.72,0.77,-0.181
5.73,113.33,0.89,0.878
9.04,0.86,1.37,1.104
7.84,5.08,0.86,1.011
7.43,3.83,0.88,0.944
9.28,5.10,3.75,0.500
8.62,0.65,0.82,0.890
5.70,10.86,0.58,0.926
7.22,3.24,0.63,1.612
8.28,2.67,1.06,1.605
8.79,7.79,1.24,0.614
8.27,9.62,1.17,0.423
7.80,8.93,0.73,0.568
8.66,4.95,1.25,1.005
7.68,13.62,0.76,0.580
6.36,9.19,0.49,0.096
4.50,9.94,0.64,1.258
7.40,3.84,1.02,1.570
10.06,6.96,1.93,0.602
8.99,2.24,1.22,1.442
6.30,2.84,0.81,1.513
9.05,1.98,1.40,1.085
7.79,12.63,1.01,0.945
9.10,6.74,1.41,0.648
7.34,11.38,0.95,0.227
6.28,7.96,0.59,0.006
8.20,3.81,1.52,0.621
10.20,-1.29,1.26,0.350
7.84,2.46,0.67,-0.027
6.99,0.58,0.88,1.426
8.83,-0.45,1.32,1.008
9.01,4.93,1.30,0.394
6.11,10.95,0.75,1.039
7.20,6.05,0.79,0.997
6.30,6.19,0.94,0.005
6.30,3.83,1.00,1.467
7.17,5.06,0.83,0.331
6.55,23.48,0.84,0.381
6.47,2.86,0.58,-0.097
8.38,6.37,1.74,0.517
7.11,2.47,0.64,1.500
9.72,5.96,1.69,0.609
8.46,22.56,1.17,0.685
7.12,1.65,0.62,-0.015
8.33,1.66,0.82,0.331
10.56,5.63,2.07,0.480
8.87,3.83,1.35,0.481
5.30,6.91,0.64,0.951
9.11,4.04,1.47,0.437
7.72,2.91,1.47,-0.060
7.03,18.90,0.93,0.441
9.09,5.25,1.98,0.468
7.51,21.45,2.14,0.689
5.27,3.26,0.52,1.650
8.10,2.84,0.86,1.061
9.22,8.54,1.77,0.683
7.42,7.64,0.93,0.206
8.07,7.09,0.63,0.997
8.74,0.33,1.23,1.185
7.86,3.67,1.31,1.102
9.38,9.25,1.38,0.648
8.65,4.03,1.03,1.158
8.46,1.66,1.07,1.427
7.43,7.49,1.14,0.221
5.91,56.92,0.52,0.602
6.24,8.88,0.64,1.010
8.78,0.48,1.25,1.597
8.53,0.27,1.87,1.293
4.30,4.75,0.96,0.928
8.36,2.09,0.88,1.146
8.56,2.47,1.20,1.054
6.68,16.24,0.83,0.474
8.30,6.30,1.63,0.700
9.27,0.70,1.47,1.202
8.86,10.39,1.15,0.611
8.47,6.46,1.32,0.626
7.68,6.11,1.01,0.099
5.86,9.55,0.87,1.002
7.76,7.07,1.03,0.462
5.83,2.10,0.61,0.073
9.29,7.21,1.33,0.496
8.05,6.24,1.17,1.157
9.26,2.68,1.36,0.521
8.79,0.89,1.28,1.194
8.00,0.41,0.92,0.854
7.69,6.60,0.92,1.110
9.25,       ,      ,0.131
